variable	Compartment	term	estimate	std.error	statistic	p.value	p.adj	direction	classification	Kingdom	Phylum	Class	Order	Family	Genus	Species	Phylum2
4364915	Rhizoplane	Day_After_Germination	-0.0014187343408584522	2.7494932716785566e-4	-5.159984770547627	8.290226597361715e-7	4.4767223625753264e-5	Decreasing	Decreasing	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Dechloromonas	unclassified	Betaproteobacteria
4373617	Rhizoplane	Day_After_Germination	0.003220419657157693	6.616664897190605e-4	4.867134284713531	3.0124484328122445e-6	1.626722153718612e-4	Increasing	Increasing	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	unclassified	unclassified	Gammaproteobacteria
4375074	Rhizoplane	Day_After_Germination	-0.0040782877923496745	6.27258028728408e-4	-6.501770572179481	1.3008312195380453e-9	7.024488585505444e-8	Decreasing	Decreasing	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	unclassified	unclassified	Betaproteobacteria
4381473	Rhizoplane	Day_After_Germination	0.003819312582111576	0.0013576189544827445	2.813243413772712	0.005610277483935108	0.30295498413249583	Increasing	Neutral	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	unclassified	unclassified	unclassified	Alphaproteobacteria
4388772	Rhizoplane	Day_After_Germination	-0.007009073895346444	0.001128403895142402	-6.211493885761458	5.630715922773546e-9	3.0405865982977146e-7	Decreasing	Decreasing	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Dechloromonas	unclassified	Betaproteobacteria
4423471	Rhizoplane	Day_After_Germination	-0.0053229527683052455	6.80675893935997e-4	-7.82009883958922	1.15311510138651e-12	6.226821547487155e-11	Decreasing	Decreasing	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Dechloromonas	unclassified	Betaproteobacteria
4425297	Rhizoplane	Day_After_Germination	0.007697171933824851	8.754465906636611e-4	8.792280438250101	4.801233299573787e-15	2.5926659817698447e-13	Increasing	Increasing	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	unclassified	Deltaproteobacteria
4439805	Rhizoplane	Day_After_Germination	-0.005874408386020271	0.0014287323414432511	-4.111622741098005	6.664577355340868e-5	0.0035988717718840684	Decreasing	Decreasing	Bacteria	Fibrobacteres	Fibrobacteria	258ds10	unclassified	unclassified	unclassified	Fibrobacteres
4453710	Rhizoplane	Day_After_Germination	-0.028538594925128825	0.0033181836988104996	-8.600667568633805	1.4361051296212586e-14	7.754967699954796e-13	Decreasing	Decreasing	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax	unclassified	Betaproteobacteria
37119	Rhizoplane	Day_After_Germination	0.013916822755431713	0.0014665892751555977	9.489243506131059	8.493978940258465e-17	4.586748627739571e-15	Increasing	Increasing	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Candidatus_Methanoregula	unclassified	Euryarchaeota
